word	trans	kk	level	
in	在…裡面	/?n/	1	
inch	英吋	/?nt?/	1	
inside	內部	/ˋ?nˋsa?d/	1	
interest	興趣	/ˋ?nt?r?st/	1	
into	到…裡	/ˋ?ntu/	1	
iron	鐵	/ˋa??n/	1	
is	是	/?z/	1	
it	它	/?t/	1	
its	它的	/?ts/	1	
jam	堵塞；果醬	/d?? m/	1	
January/Jan.	一月	/ˋd?? nj???r?/	1	
job	工作	/d??b/	1	
join	參加	/d??b/	1	
joke	玩笑	/d?ok/	1	
joy	歡樂	/d???/	1	
juice	果汁	/d?us/	1	
July/Jul.	七月	/d?uˋla?/	1	
jump	跳	/d??mp/	1	
June/Jun.	六月	/d?un/	1	
just	正直的；只是	/d??st/	1	
keep	保持	/kip/	1	
key	鑰匙	/ki/	1	
kick	踢	/k?k/	1	
kid	小孩	/k?d/	1	
kill	殺	/k?l/	1	
kind	親切的或種類	/ka?nd/	1	
king	國王	/k??/	1	
kiss	吻	/k?s/	1	
kitchen	廚房	/ˋk?t??n/	1	
knee	膝蓋	/ni/	1	
knife	刀子	/na?f/	1	
know	知道	/no/	1	
knowledge	知識	/ˋn?l?d?/	1	
lady	女士	/ˋled?/	1	
lake	湖泊	/lek/	1	
lamp	燈	/l? mp/	1	
land	土地	/l? nd/	1	
language	語言	/ˋl??gw?d?/	1	
large	大的	/l?rd?/	1	
last	最後的	/l? st/	1	
late	遲到的	/let/	1	
laugh	笑	/l? f/	1	
law	法律	/l?/	1	
lay	放置	/le/	1	
lazy	懶惰的	/ˋlez?/	1	
lead	帶領	/lid/	1	
leaf	葉子	/lif/	1	
learn	學習	/l?n/	1	
least	最少的	/list/	1	
leave	離開	/liv/	1	
left	左邊	/l?ft/	1	
leg	腿	/l?g/	1	
lend	借出	/l?nd/	1	
lesson	課	/ˋl?s?n/	1	
let	讓	/l?t/	1	
letter	信或字母	/ˋl?t?/	1	
level	等級	/ˋl?v!/	1	
library	圖書館	/ˋla?br?r?/	1	
lie	說謊或躺	/la?/	1	
life	生命	/la?f/	1	
light	光亮的或輕的	/la?t/	1	
like	喜歡	/la?k/	1	
line	線	/la?n/	1	
lion	獅子	/ˋla??n/	1	
lip	嘴唇	/l?p/	1	
list	清單	/l?st/	1	
listen	聽	/ˋl?s?n/	1	
little	小的	/ˋl?t!/	1	
live	居住	/l?v/	1	
lock	鎖	/l?k/	1	
long	長的	/l??/	1	
look	看	/l?k/	1	
lose	失去	/luz/	1	
loss	損失	/l?s/	1	
lot	許多	/l?t/	1	
loud	大聲的	/la?d/	1	
love	愛	/l?v/	1	
low	低的	/lo/	1	
luck	運氣	/l?k/	1	
lucky	幸運的	/ˋl?k?/	1	
lunch	午餐	/l?nt?/	1	
lady	女士	/ˋled?/	1	
lake	湖泊	/lek/	1	
lamp	燈	/l? mp/	1	
land	土地	/l? nd/	1	
language	語言	/ˋl??gw?d?/	1	
large	大的	/l?rd?/	1	
last	最後的	/l? st/	1	
late	遲到的	/let/	1	
laugh	笑	/l? f/	1	
law	法律	/l?/	1	
lay	放置	/le/	1	
lazy	懶惰的	/ˋlez?/	1	
lead	帶領	/lid/	1	
leaf	葉子	/lif/	1	
learn	學習	/l?n/	1	
least	最少的	/list/	1	
leave	離開	/liv/	1	
left	左邊	/l?ft/	1	
leg	腿	/l?g/	1	
lend	借出	/l?nd/	1	
lesson	課	/ˋl?s?n/	1	
let	讓	/l?t/	1	
letter	信或字母	/ˋl?t?/	1	
level	等級	/ˋl?v!/	1	
library	圖書館	/ˋla?br?r?/	1	
lie	說謊或躺	/la?/	1	
life	生命	/la?f/	1	
light	光亮的或輕的	/la?t/	1	
like	喜歡	/la?k/	1	
line	線	/la?n/	1	
lion	獅子	/ˋla??n/	1	
lip	嘴唇	/l?p/	1	
list	清單	/l?st/	1	
listen	聽	/ˋl?s?n/	1	
little	小的	/ˋl?t!/	1	
live	居住	/l?v/	1	
lock	鎖	/l?k/	1	
long	長的	/l??/	1	
look	看	/l?k/	1	
lose	失去	/luz/	1	
loss	損失	/l?s/	1	
lot	許多	/l?t/	1	
loud	大聲的	/la?d/	1	
love	愛	/l?v/	1	
low	低的	/lo/	1	
luck	運氣	/l?k/	1	
lucky	幸運的	/ˋl?k?/	1	
lunch	午餐	/l?nt?/	1	
machine	機器	/m?ˋ?in/	1	
mad	瘋狂的	/m? d/	1	
mail	郵件	/mel/	1	
main	主要的	/men/	1	
make	製造	/mek/	1	
man	男人	/m? n/	1	
many	許多的	/ˋm?n?/	1	
map	地圖	/m? p/	1	
March/Mar.	三月	/m?rt?/	1	
mark	記號	/m?rk/	1	
market	市場	/ˋm?rk?t/	1	
marry	結婚	/ˋm?r?/	1	
master	主人	/ˋm?st?/	1	
may	可以	/me/	1	
May	五月	/me/	1	
maybe	或許	/ˋmeb?/	1	
me	我(受格)	/mi/	1	
meal	餐	/mil/	1	
mean	意思是	/min/	1	
meat	肉	/mit/	1	
medicine	藥	/ˋm?d?s?n/	1	
meet	遇見	/mit/	1	
meeting	會議	/ˋmit??/	1	
member	成員	/ˋm?mb?/	1	
